symbol,name,sector
RELIANCE,Reliance Industries,Energy
TCS,Tata Consultancy Services,IT
HDFCBANK,HDFC Bank,Bank
ICICIBANK,ICICI Bank,Bank
INFY,Infosys,IT
HINDUNILVR,Hindustan Unilever,FMCG
ITC,ITC,FMCG
SBIN,State Bank of India,Bank
BHARTIARTL,Bharti Airtel,Telecom
KOTAKBANK,Kotak Mahindra Bank,Bank
LT,Larsen & Toubro,Infrastructure
AXISBANK,Axis Bank,Bank
BAJFINANCE,Bajaj Finance,Financial Services
ASIANPAINT,Asian Paints,Consumer Durables
MARUTI,Maruti Suzuki,Auto
HCLTECH,HCL Technologies,IT
SUNPHARMA,Sun Pharmaceutical,Pharma
TITAN,Titan Company,Consumer Durables
ULTRACEMCO,UltraTech Cement,Cement
WIPRO,Wipro,IT
NESTLEIND,Nestle India,FMCG
ONGC,Oil & Natural Gas Corp,Energy
NTPC,NTPC,Power
POWERGRID,Power Grid Corp,Power
TATAMOTORS,Tata Motors,Auto
TATASTEEL,Tata Steel,Metal
JSWSTEEL,JSW Steel,Metal
ADANIENT,Adani Enterprises,Diversified
ADANIPORTS,Adani Ports & SEZ,Infrastructure
COALINDIA,Coal India,Energy
BAJAJFINSV,Bajaj Finserv,Financial Services
HDFCLIFE,HDFC Life Insurance,Insurance
SBILIFE,SBI Life Insurance,Insurance
BRITANNIA,Britannia Industries,FMCG
DIVISLAB,Divi's Laboratories,Pharma
DRREDDY,Dr Reddy's Laboratories,Pharma
CIPLA,Cipla,Pharma
EICHERMOT,Eicher Motors,Auto
HEROMOTOCO,Hero MotoCorp,Auto
BAJAJ-AUTO,Bajaj Auto,Auto
GRASIM,Grasim Industries,Cement
HINDALCO,Hindalco Industries,Metal
INDUSINDBK,IndusInd Bank,Bank
M&M,Mahindra & Mahindra,Auto
TATACONSUM,Tata Consumer Products,FMCG
TECHM,Tech Mahindra,IT
APOLLOHOSP,Apollo Hospitals,Pharma
BPCL,Bharat Petroleum,Energy
LTIM,LTIMindtree,IT
SHRIRAMFIN,Shriram Finance,Financial Services
